(venv) caden-saltzberg@PenguinPaladin:~/projects/sch/gene-autoannotator$ python3 autoannotation Rv1129c
2026-04-10 23:14:35,521 I | Starting annotation process for gene Rv1129c
2026-04-10 23:14:35,521 I | Using dir ./.cache for caching papers
2026-04-10 23:14:35,521 I | Using dir ./.cache for caching PMC papers
2026-04-10 23:14:35,536 I | Using throttler to make no more than 2 requests per second
2026-04-10 23:14:35,567 I | Searching PubMed Central for gene Rv1129c
2026-04-10 23:14:35,567 D | Searching PubMed Central by gene locus Rv1129c
2026-04-10 23:14:35,846 D | Found 67 papers by locus for gene Rv1129c
2026-04-10 23:14:35,846 D | No name available for gene Rv1129c; moving on with obtained papers
2026-04-10 23:14:35,846 D | Recording 67 papers relevant to gene Rv1129c
2026-04-10 23:14:35,847 D | Using cached abstract for paper PMC13026654
2026-04-10 23:14:35,847 I | Skipping paper PMC13026654: does not pass relevance checks for gene Rv1129c
2026-04-10 23:14:35,847 D | Using cached abstract for paper PMC13001264
2026-04-10 23:14:35,847 I | Skipping paper PMC13001264: does not pass relevance checks for gene Rv1129c
2026-04-10 23:14:35,847 D | Using cached abstract for paper PMC12889156
2026-04-10 23:14:35,847 I | Skipping paper PMC12889156: does not pass relevance checks for gene Rv1129c
2026-04-10 23:14:35,847 D | Using cached abstract for paper PMC12800093
2026-04-10 23:14:35,847 I | Skipping paper PMC12800093: does not pass relevance checks for gene Rv1129c
2026-04-10 23:14:35,847 D | Using cached abstract for paper PMC12636432
2026-04-10 23:14:35,847 I | Skipping paper PMC12636432: does not pass relevance checks for gene Rv1129c
2026-04-10 23:14:35,847 D | Using cached abstract for paper PMC12633013
2026-04-10 23:14:35,847 I | Skipping paper PMC12633013: does not pass relevance checks for gene Rv1129c
2026-04-10 23:14:35,847 D | Using cached abstract for paper PMC12584712
2026-04-10 23:14:35,847 D | Using cached discussion for paper PMC12584712
2026-04-10 23:14:35,847 D | Using cached results for paper PMC12584712
2026-04-10 23:14:35,847 I | Starting inference process for gene Rv1129c with paper PMC12584712
2026-04-10 23:14:35,847 D | Using cached abstract for paper PMC12584712
2026-04-10 23:14:35,847 D | Using cached results for paper PMC12584712
2026-04-10 23:14:35,847 D | Using cached discussion for paper PMC12584712
2026-04-10 23:14:35,848 D | Obtained 3 relevant sections for paper PMC12584712
2026-04-10 23:14:35,848 D | Starting processing for PMC12584712 abstract
2026-04-10 23:14:35,848 D | Reading cached response for LLM mistral:7b-instruct-v0.2-q3_K_M
2026-04-10 23:14:35,848 D | Returning cached section-summary response (213 chars)
2026-04-10 23:14:35,848 D | Reading cached response for LLM llama3.2:3b
2026-04-10 23:14:35,848 D | Returning cached section-summary response (226 chars)
2026-04-10 23:14:35,848 D | Reading cached response for LLM gemma3:4b
2026-04-10 23:14:35,848 D | Returning cached section-summary response (348 chars)
2026-04-10 23:14:35,848 D | Reading cached response for LLM phi3:3.8b
2026-04-10 23:14:35,848 D | Returning cached candidate-aggregation response (358 chars)
2026-04-10 23:14:35,848 D | Starting processing for PMC12584712 results
2026-04-10 23:14:35,848 D | Reading cached response for LLM mistral:7b-instruct-v0.2-q3_K_M
2026-04-10 23:14:35,848 D | Returning cached section-summary response (1165 chars)
2026-04-10 23:14:35,848 D | Reading cached response for LLM llama3.2:3b
2026-04-10 23:14:35,848 D | Returning cached section-summary response (215 chars)
2026-04-10 23:14:35,848 D | Submitting section-summary job (length 9893 chars) to LLM (model gemma3:4b)
2026-04-10 23:20:10,605 D | Got response (216 chars) back from gemma3:4b in 5m, 34.8s
2026-04-10 23:20:10,605 D | Caching response from LLM gemma3:4b
2026-04-10 23:20:10,609 D | Submitting candidate-aggregation job (length 2090 chars) to LLM (model phi3:3.8b)
2026-04-10 23:21:53,615 D | Got response (1169 chars) back from phi3:3.8b in 1m, 43.0s
2026-04-10 23:21:53,615 D | Caching response from LLM phi3:3.8b
2026-04-10 23:21:53,616 D | Starting processing for PMC12584712 discussion
2026-04-10 23:21:53,617 D | Submitting section-summary job (length 8340 chars) to LLM (model mistral:7b-instruct-v0.2-q3_K_M)
2026-04-10 23:29:36,045 D | Got response (221 chars) back from mistral:7b-instruct-v0.2-q3_K_M in 7m, 42.4s
2026-04-10 23:29:36,045 D | Caching response from LLM mistral:7b-instruct-v0.2-q3_K_M
2026-04-10 23:29:36,048 D | Submitting section-summary job (length 8340 chars) to LLM (model llama3.2:3b)
2026-04-10 23:32:07,841 D | Got response (237 chars) back from llama3.2:3b in 2m, 31.8s
2026-04-10 23:32:07,841 D | Caching response from LLM llama3.2:3b
2026-04-10 23:32:07,842 D | Submitting section-summary job (length 8340 chars) to LLM (model gemma3:4b)
2026-04-10 23:35:20,528 D | Got response (930 chars) back from gemma3:4b in 3m, 12.7s
2026-04-10 23:35:20,528 D | Caching response from LLM gemma3:4b
2026-04-10 23:35:20,562 D | Submitting candidate-aggregation job (length 1882 chars) to LLM (model phi3:3.8b)
2026-04-10 23:36:59,092 D | Got response (886 chars) back from phi3:3.8b in 1m, 38.5s
2026-04-10 23:36:59,092 D | Caching response from LLM phi3:3.8b
2026-04-10 23:36:59,134 D | No cached abstract for paper PMC11895460
2026-04-10 23:36:59,134 D | Parsing paper PMC11895460
2026-04-10 23:36:59,135 D | Downloading paper PMC11895460 from PubMed Central
2026-04-10 23:36:59,588 D | Saving methods for paper PMC11895460
2026-04-10 23:36:59,589 D | Saving results for paper PMC11895460
2026-04-10 23:36:59,591 D | Saving discussion for paper PMC11895460
2026-04-10 23:36:59,592 I | Skipping paper PMC11895460: does not pass relevance checks for gene Rv1129c
2026-04-10 23:36:59,592 D | No cached abstract for paper PMC11561320
2026-04-10 23:36:59,592 D | Parsing paper PMC11561320
2026-04-10 23:36:59,592 D | Downloading paper PMC11561320 from PubMed Central
2026-04-10 23:36:59,592 D | Slowing down requests: sleeping for 0.490s
2026-04-10 23:37:00,379 D | Saving results for paper PMC11561320
2026-04-10 23:37:00,379 D | Saving discussion for paper PMC11561320
2026-04-10 23:37:00,379 D | Saving methods for paper PMC11561320
2026-04-10 23:37:00,379 I | Skipping paper PMC11561320: does not pass relevance checks for gene Rv1129c
2026-04-10 23:37:00,379 D | No cached abstract for paper PMC11525840
2026-04-10 23:37:00,379 D | Parsing paper PMC11525840
2026-04-10 23:37:00,379 D | Downloading paper PMC11525840 from PubMed Central
2026-04-10 23:37:00,379 D | Slowing down requests: sleeping for 0.497s
2026-04-10 23:37:01,258 D | Saving results for paper PMC11525840
2026-04-10 23:37:01,258 D | Saving discussion for paper PMC11525840
2026-04-10 23:37:01,258 D | Saving methods for paper PMC11525840
2026-04-10 23:37:01,258 I | Skipping paper PMC11525840: does not pass relevance checks for gene Rv1129c
2026-04-10 23:37:01,259 D | Finished paper distillation by LLM with 9 total summaries generated for 3 total paper sections for gene Rv1129c
2026-04-10 23:37:01,268 D | Filtered down to 2 valid sections for gene Rv1129c
2026-04-10 23:37:01,268 D | Submitting section-aggregation job (2 blurbs; total 1973 chars) to LLM (model gemma3:4b)
2026-04-10 23:38:18,250 D | Got response (868 chars) back from gemma3:4b in 1m, 17.0s
2026-04-10 23:38:18,250 D | Caching response from LLM gemma3:4b
2026-04-10 23:38:18,250 I | Finished annotation process for gene Rv1129c in 23m, 42.7s
